Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
hide away	0.06	0	3	0.176470588235294	17	0,-3,-3,2,-2,3,3,1,3,1,-2,-1,0,0,-1,2,-2
severity	0.50	1	2	0.388888888888889	18	0,2,2,1,-3,-3,2,-3,-3,2,2,1,2,0,1,3,1,2
somberness	0.25	0	1	0.4	20	-3,-3,-3,-3,1,2,-3,3,1,1,2,1,2,2,1,1,1,-1,2,1
exhaustedly	-0.27	0	-3	0.333333333333333	15	2,1,-3,-1,-3,-3,-3,-3,1,0,2,1,3,1,1
recuperation	0.06	0	-3	0.277777777777778	18	3,2,1,3,-3,-3,1,0,-3,3,0,0,-1,-3,3,-3,-2,3
undoubting	-0.55	-1	-3	0.363636363636364	11	0,-2,2,-3,-3,-3,2,3,0,1,-3
soullessly	-0.33	0	-3	0.333333333333333	15	0,0,2,-1,2,-3,-3,1,-3,2,3,0,-3,-3,1
safe return	0.33	0	3	0.333333333333333	12	1,-3,2,3,3,1,-3,0,3,-3,3,-3
exalt	0.00	0	-3	0.263157894736842	19	2,0,3,0,2,-3,-3,-3,-3,-3,1,3,-1,-2,3,3,3,-1,-1
generousness	-0.11	0	-3	0.333333333333333	18	1,0,0,0,-3,-3,1,3,2,1,1,-3,-3,-3,3,-3,2,2
ecstatic	0.24	0	3	0.470588235294118	17	-3,3,3,3,-3,-3,-3,-3,-3,-3,3,1,3,3,0,3,3
that's cool	-1.38	-1	-3	0.538461538461538	13	-3,0,0,1,-3,1,-2,-3,3,-3,-3,-3,-3
well put	-0.83	-1	-3	0.416666666666667	12	-3,-3,3,-3,3,-2,0,-1,-3,2,0,-3
ferocity	0.82	1	2	0.411764705882353	17	-3,-3,-3,-3,1,2,3,3,2,2,2,1,2,2,1,3,2
elatedly	0.76	1	3	0.352941176470588	17	3,1,-1,-3,-3,-3,3,3,2,1,1,3,3,-1,-1,2,3
resplendence	-0.95	-1	-3	0.473684210526316	19	2,3,1,0,-3,-3,-3,-3,-3,-3,3,0,0,-3,-3,2,-2,0,-3
gangbang	0.90	1	3	0.5	20	3,0,0,2,0,-3,-3,-3,-3,-3,3,3,3,3,1,3,3,3,3,3
allsmiles	-0.63	-1	-3	0.315789473684211	19	3,1,3,0,-3,-2,-1,-1,1,-3,2,-3,-2,-3,-2,-3,-3,2,2
openheartedness	-1.14	-1	-3	0.428571428571429	14	0,-3,1,0,-3,3,-2,-3,-3,-1,-3,-3,3,-2
great success	0.38	0	3	0.3125	16	0,-1,3,1,-3,-2,2,3,2,3,0,-3,3,3,-2,-3
jubilancy	0.15	0	-3	0.35	20	3,1,-3,-3,3,3,-3,2,3,-3,-3,1,0,-1,0,3,-3,3,-3,3
gofuckyourself	1.47	1	3	0.705882352941177	17	1,-3,-3,3,-3,3,3,3,3,3,3,3,3,3,3,-3,3
morgue	0.53	1	2	0.368421052631579	19	2,1,2,2,3,-3,3,3,3,-3,-3,2,1,2,-3,2,-3,2,-3
magnificent	-1.47	-1	-3	0.578947368421053	19	-3,3,-3,2,-3,-1,-3,-3,-3,-3,3,-3,-3,-1,2,-3,-2,-1,-3
exterminator	0.12	0	-3	0.3125	16	0,2,1,-3,-3,-3,-3,-3,3,2,2,1,2,1,1,2
jubilantly	-0.59	-1	-3	0.411764705882353	17	0,-3,-3,1,1,3,3,3,-1,2,0,-1,-3,-3,-3,-3,-3
