id,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
F11,-7.26,2816.09,48,3.60,161790,1.23,6950.10
F10,809.80,19358.18,46,6.82,32,0.68,318.99
F25,47.52,7791.42,77,0.93,185386,3.41,8340.74
F24,96.81,14751.79,58,1.53,119175,3.79,2183.42
F8,1333.36,8180.72,37,3.14,35823,0.70,981.89
F1,-190.46,7609.71,39,2.69,112261,2.22,6593.89
F32,75.58,30972.78,58,4.31,4957,1.62,2821.50
F7,173.82,23124.19,60,3.01,50,0.44,193.89
F6,-0.00,7349.71,60,4.28,43838,4.17,4969.33
F5,823.93,2529.18,30,16.89,20833,0.19,730.94
F28,262.01,14339.65,51,2.82,157913,2.18,4574.25
F29,-30.50,10139.26,36,10.97,208339,1.13,8780.60
F16,-0.11,23922.58,37,5.45,70,0.62,291.13
F17,191.73,12016.41,40,6.19,790,0.92,178.19
F22,20.61,6376.63,10,20.70,108406,0.94,5542.06
F23,-1.98,7726.95,14,28.50,87048,0.92,4493.43
F31,-28.62,12826.55,51,3.31,97,1.96,1330.48
F30,28.71,7085.29,23,22.51,134924,0.89,9458.22
F9,-1222.73,8424.29,21,11.55,212341,1.18,9708.99
F3,21.13,8263.96,12,20.49,131483,1.19,6828.78
F2,4.12,6016.57,24,33.06,136033,1.10,8904.67
F26,517.56,15917.84,67,2.39,90748,2.65,1818.59
F27,375.13,10002.54,42,14.69,199128,2.18,7339.39
F18,35.86,5919.24,24,19.32,183012,0.92,8568.12
F19,102.42,11147.45,14,45.36,34505,1.16,2991.72
F12,200.15,23128.21,58,4.32,1990,1.58,414.05
F13,254.86,11935.26,28,21.00,174074,1.65,8507.57
F21,76.29,10394.48,36,12.05,161283,1.23,7277.03
F20,-62.92,11719.03,49,4.19,143915,1.61,6264.44
F15,-0.08,11920.19,30,8.48,575,0.52,171.84
F14,-56.36,6172.45,20,5.26,173300,0.46,7764.33
F4,634.60,11507.21,54,5.54,148463,2.75,4994.39
F66,-1.32,5424.07,30,35.96,3677,0.48,829.52
F58,13.06,18233.04,58,3.68,106433,2.73,1344.77
F59,178.32,11726.41,57,5.06,16711,1.39,453.87
F52,194.03,18165.25,49,7.95,78676,0.58,3434.18
F53,12.30,20181.30,62,2.64,15300,0.93,395.01
F38,99.24,17800.41,37,16.56,1221,0.99,322.36
F39,-0.05,11984.13,55,2.84,1440,1.22,275.02
F33,58.75,8086.85,52,5.69,201053,3.72,3340.34
F45,31.60,15780.89,45,3.13,88,1.93,270.37
F44,2.53,785.31,17,29.06,246131,1.07,12595.98
F48,-72.05,5642.75,36,10.97,258990,1.84,11355.47
F49,85.02,4814.20,21,24.63,267933,1.28,12589.56
F35,-4.32,10621.59,69,1.16,9468,1.56,624.91
F34,-13.69,4738.47,41,3.18,8531,1.07,375.49
F42,24.67,5323.74,21,8.43,1630,0.68,786.71
F43,-0.17,3389.65,62,2.95,259838,3.86,8937.02
F61,10.80,20253.59,58,3.04,14709,1.10,463.26
F60,20.58,18093.00,54,6.80,48630,0.90,2104.45
F55,41.87,11588.61,38,14.60,185150,1.18,7994.48
F54,59.41,9269.99,17,11.41,9628,0.75,510.52
F46,96.48,19602.54,43,11.08,1675,1.14,378.47
F47,-0.07,703.58,20,17.92,319141,0.81,15823.19
F51,14.97,18958.40,61,2.93,16648,0.91,419.50
F50,89.36,17805.12,49,11.78,83183,0.38,3883.85
F65,10.27,4294.12,30,11.98,236700,1.73,10963.01
F64,59.41,9239.22,19,33.81,7636,0.66,523.10
F56,85.19,7208.09,36,5.19,15441,1.05,675.27
F57,324.06,4580.62,55,2.65,284744,2.07,8322.62
F62,19.55,3262.56,25,12.25,7229,0.74,610.09
F63,58.12,6096.62,26,11.80,5777,0.92,553.54
F36,-0.32,993.11,30,5.24,158748,2.29,4537.52
F37,13.18,17611.95,48,7.63,915,0.77,204.66
F41,4452.46,7050.19,56,3.31,304141,1.34,6085.96
F40,-25.02,7722.62,49,5.47,25793,1.25,1988.57
F67,-716.95,7497.28,26,4.84,63946,2.05,1787.55
F71,43.16,9472.36,41,0.67,2871,1.30,875.74
F70,-8.17,6266.06,69,2.68,677,1.09,426.29
F76,48.02,6468.21,39,2.95,267313,2.13,6064.31
F77,44.53,21815.57,56,1.32,3359,0.40,271.93
F78,517.56,15917.84,67,2.39,90877,2.65,1809.59
F79,71.10,13245.31,14,12.77,104137,0.45,4678.17
F72,533.55,18694.85,43,13.37,8684,0.34,442.34
F73,79.05,13418.87,56,2.11,210901,3.24,1195.73
F80,21.72,14785.89,62,2.16,13761,0.53,751.25
F68,410.67,23109.82,57,4.26,29,0.36,99.78
F69,71.16,7958.62,11,23.14,3951,0.50,516.67
F75,43.53,20057.92,55,5.86,37538,0.18,2247.76
F74,130.81,8674.38,55,2.97,1220,2.00,4315.92
F83,7.84,1775.56,18,19.12,3533,1.79,1154.27
F82,50.73,12556.87,50,6.46,1990,0.73,899.98
F89,-3.84,1309.30,11,45.53,2609,0.25,1496.42
F88,64.04,12533.06,53,7.83,76071,1.04,3222.36
F94,-11.27,5664.40,12,74.73,26330,0.33,1592.40
F95,-93.68,2443.07,27,25.93,220978,1.01,10015.55
F93,87.87,11079.10,57,2.70,1901,3.67,7962.85
F92,52.40,10152.20,48,6.47,101,1.65,775.34
F99,-2.38,3185.10,49,5.20,288,0.99,534.65
F98,39.85,2234.76,44,5.47,560,0.50,511.41
F84,1.45,15231.45,61,3.20,63,0.73,326.32
F85,-13.83,8132.13,32,23.78,72685,0.74,5308.90
F100,0.62,1761.10,40,6.95,598,0.31,428.34
F101,-0.75,1380.16,57,4.61,5982,0.54,853.31
F97,1.10,5231.80,50,5.06,27103,0.61,1602.34
F96,-1.75,4750.01,66,3.73,12214,1.41,1234.04
F104,7.60,1925.94,42,10.45,145648,0.41,4185.59
F81,-17.71,4648.26,21,28.41,1167,0.48,1771.91
F103,1379.27,2977.36,27,11.90,25311,0.78,731.04
F102,7.14,1439.44,48,7.18,41761,0.12,1353.51
F87,-6.26,3885.98,13,92.15,13128,0.14,911.87
F86,-0.32,9398.99,48,7.44,95706,0.82,3933.20
F90,-0.30,6728.52,8,46.85,52989,0.35,6700.92
F91,266.14,13714.30,46,6.92,95328,1.42,3252.93
F124,16.64,18096.33,37,4.97,19485,1.48,803.28
F125,29.17,8631.10,29,21.42,172708,1.34,4297.99
F123,30.16,9261.77,33,20.64,7804,0.70,1227.95
F122,50.06,7108.95,33,16.49,2289,0.45,1366.41
F129,-0.27,7215.38,76,0.67,56,1.76,1031.64
F128,-32.14,6286.58,35,14.56,50692,0.79,2516.49
F117,8.56,2996.90,57,4.26,180109,1.41,7391.40
F127,-12.92,10717.37,38,5.16,134,1.27,331.91
F126,14.13,7460.17,51,7.07,30802,0.69,1693.79
F119,11.92,9762.31,56,3.56,57,0.44,243.52
F118,3.03,5611.20,51,3.85,194,0.82,1054.40
F130,7.88,6353.54,46,6.28,38840,0.43,1918.82
F120,2281.28,6167.47,51,5.45,109048,1.25,4658.76
F121,4.22,7278.63,49,7.45,120,0.50,287.82
F133,-0.58,2812.73,51,6.70,2791,1.61,2632.50
F132,-1.44,5230.02,37,25.69,88980,0.91,5989.97
F144,-1.07,1564.84,51,4.77,2700,1.54,2870.41
F139,14.38,9429.99,43,4.24,3313,1.45,1687.91
F138,13.70,1169.07,43,7.72,5051,2.22,4748.52
F134,7.20,2349.10,58,3.63,19218,1.15,2718.35
F135,11.63,3483.50,35,10.14,5709,1.12,5525.46
F143,-0.28,3725.13,48,5.85,695,1.14,2377.53
F142,-2.66,1958.67,42,9.40,2453,1.50,3288.80
F131,1.18,4253.02,50,5.94,242,1.01,2536.15
F137,-1.09,7680.72,52,3.78,161,1.61,2147.58
F136,-1.67,3800.27,53,4.40,308,1.47,2406.34
F140,9.10,8113.41,28,19.68,2704,0.77,3959.90
F141,-13.32,4194.46,45,6.67,2781,1.65,3597.41
F145,-140.73,5465.41,33,14.53,207017,1.60,4957.32
F153,267.60,13599.07,43,11.22,151020,2.87,6254.32
F152,158.19,14320.11,40,13.30,176370,1.47,466.54
F159,-12.78,4350.17,28,19.09,228557,0.93,585.07
F158,-33.82,7408.99,39,12.13,184391,1.87,627.87
F154,359.62,17502.31,45,5.31,94730,2.04,3763.24
F155,181.65,11224.57,25,23.65,184218,1.15,8893.76
F160,116.61,19705.12,37,16.30,3328,0.97,339.15
F149,-1188.34,8791.46,26,11.75,208927,1.51,10317.05
F148,223.50,16578.82,58,4.49,43253,1.44,2344.98
F150,-2191.93,16122.79,44,7.77,130912,2.60,5274.05
F151,178.40,12282.71,34,13.42,170242,2.35,7808.71
F147,10.07,2982.28,30,9.58,231069,1.69,12381.53
F146,17.58,7723.65,30,28.58,100541,1.28,6910.63
F157,9.57,10716.08,61,2.87,9244,1.39,873.30
F156,-50.58,26376.31,57,5.46,4569,1.64,1682.77
F161,161.63,29134.26,60,3.50,450,1.51,1746.96
F163,-433.70,26880.80,45,12.08,14,1.54,2588.92
F162,61.25,16453.90,3,201.29,42,1.48,2559.41
